country,type,topic,sum,prop
Brazil,theme,coastal ecology,141.3127616,0.025140146
Chile,theme,coastal ecology,17.06791496,0.016011177
Colombia,theme,coastal ecology,7.596805631,0.020643494
Costa.Rica,theme,coastal ecology,2.466862828,0.013480125
Cuba,theme,coastal ecology,0.050502331,0.012625583
Ecuador,theme,coastal ecology,2.10465276,0.007709351
El.Salvador,theme,coastal ecology,0.033995479,0.004249435
Guatemala,theme,coastal ecology,0.341396115,0.022759741
Honduras,theme,coastal ecology,0.412029359,0.13734312
Jamaica,theme,coastal ecology,0.032463316,0.032463316
Mexico,theme,coastal ecology,72.77746579,0.031864039
Nicaragua,theme,coastal ecology,0.066723695,0.066723695
Panama,theme,coastal ecology,1.553755404,0.013997796
Paraguay,theme,coastal ecology,0.468609935,0.014200301
Peru,theme,coastal ecology,3.695739327,0.010410533
Uruguay,theme,coastal ecology,5.016122119,0.03412328
Venezuela,theme,coastal ecology,3.663048722,0.025615725
Argentina,theme,toxicology,86.31503468,0.051104224
Bahamas,theme,toxicology,0.002239522,0.002239522
Belize,theme,toxicology,1.710234948,0.023427876
Bolivia,theme,toxicology,5.007135273,0.021127153
Brazil,theme,toxicology,286.5489888,0.050978294
Chile,theme,toxicology,35.25175528,0.033069189
Colombia,theme,toxicology,10.38266625,0.028213767
Costa.Rica,theme,toxicology,4.959991035,0.027103776
Cuba,theme,toxicology,0.328227589,0.082056897
Ecuador,theme,toxicology,3.46400745,0.012688672
El.Salvador,theme,toxicology,0.031661783,0.003957723
Guatemala,theme,toxicology,0.214292335,0.014286156
Honduras,theme,toxicology,0.106276381,0.03542546
Jamaica,theme,toxicology,0.000649266,0.000649266
Mexico,theme,toxicology,99.42581247,0.043531442
Nicaragua,theme,toxicology,0.103507271,0.103507271
Panama,theme,toxicology,0.297722712,0.002682187
Paraguay,theme,toxicology,1.124708063,0.034082063
Peru,theme,toxicology,6.349070434,0.017884705
Uruguay,theme,toxicology,4.751339182,0.032322035
Venezuela,theme,toxicology,6.14341781,0.042960964
Argentina,theme,solar radiation,14.15049529,0.008378032
Bahamas,theme,solar radiation,0.021435427,0.021435427
Belize,theme,solar radiation,0.347338719,0.004758065
Bolivia,theme,solar radiation,1.750820554,0.007387428
Brazil,theme,solar radiation,44.34052818,0.00788837
Chile,theme,solar radiation,11.20379324,0.010510125
Colombia,theme,solar radiation,2.191257138,0.005954503
Costa.Rica,theme,solar radiation,1.094931037,0.00598323
Cuba,theme,solar radiation,0.010097626,0.002524406
Ecuador,theme,solar radiation,1.999738832,0.007325051
El.Salvador,theme,solar radiation,0.046656246,0.005832031
Guatemala,theme,solar radiation,0.033814084,0.002254272
Honduras,theme,solar radiation,0.004912829,0.00163761
Jamaica,theme,solar radiation,0.000129853,0.000129853
Mexico,theme,solar radiation,15.60795307,0.006833605
Nicaragua,theme,solar radiation,0.005988024,0.005988024
Panama,theme,solar radiation,0.81715102,0.007361721
Paraguay,theme,solar radiation,0.079656747,0.002413841
Peru,theme,solar radiation,1.694509605,0.004773266
Uruguay,theme,solar radiation,0.639685011,0.004351599
Venezuela,theme,solar radiation,1.09223979,0.00763804
Argentina,theme,marine science,15.03217177,0.008900042
Bahamas,theme,marine science,0.007571718,0.007571718
Belize,theme,marine science,1.223466555,0.016759816
Bolivia,theme,marine science,0.435763893,0.001838666
Brazil,theme,marine science,50.06503692,0.008906785
Chile,theme,marine science,28.36307197,0.026607009
Colombia,theme,marine science,1.893380481,0.005145056
Costa.Rica,theme,marine science,1.690368195,0.009236985
Cuba,theme,marine science,0.053226557,0.013306639
Ecuador,theme,marine science,0.514583243,0.00188492
El.Salvador,theme,marine science,0.011913914,0.001489239
Guatemala,theme,marine science,0.025008984,0.001667266
Honduras,theme,marine science,0.006641092,0.002213697
Jamaica,theme,marine science,0.016231658,0.016231658
Mexico,theme,marine science,37.29013336,0.016326678
Nicaragua,theme,marine science,0.000855432,0.000855432
Panama,theme,marine science,0.871713695,0.007853277
Paraguay,theme,marine science,0.1869761,0.005665942
Peru,theme,marine science,9.414268982,0.026519068
Uruguay,theme,marine science,2.769920934,0.018843
Venezuela,theme,marine science,3.214841472,0.022481409
Argentina,theme,evolutionary ecology,69.65640249,0.041241209
Bahamas,theme,evolutionary ecology,0.00298603,0.00298603
Belize,theme,evolutionary ecology,2.395288293,0.032812168
Bolivia,theme,evolutionary ecology,4.257141987,0.017962624
Brazil,theme,evolutionary ecology,243.5507924,0.04332873
Chile,theme,evolutionary ecology,26.20465635,0.024582229
Colombia,theme,evolutionary ecology,10.15772798,0.027602522
Costa.Rica,theme,evolutionary ecology,5.213829796,0.028490873
Cuba,theme,evolutionary ecology,0.053938112,0.013484528
Ecuador,theme,evolutionary ecology,8.114289015,0.02972267
El.Salvador,theme,evolutionary ecology,0.017678554,0.002209819
Guatemala,theme,evolutionary ecology,0.573829214,0.038255281
Honduras,theme,evolutionary ecology,0.003250727,0.001083576
Jamaica,theme,evolutionary ecology,0.000519413,0.000519413
Mexico,theme,evolutionary ecology,53.68813193,0.023506187
Nicaragua,theme,evolutionary ecology,0.001710864,0.001710864
Panama,theme,evolutionary ecology,5.139085203,0.046298065
Paraguay,theme,evolutionary ecology,1.053017742,0.031909629
Peru,theme,evolutionary ecology,5.655992953,0.015932375
Uruguay,theme,evolutionary ecology,8.721963181,0.059333083
Venezuela,theme,evolutionary ecology,4.007595709,0.028025145
Argentina,theme,salt water,7.824776087,0.004632786
Bahamas,theme,salt water,0.019515837,0.019515837
Belize,theme,salt water,0.48790357,0.006683611
Bolivia,theme,salt water,0.902721078,0.00380895
Brazil,theme,salt water,15.74132647,0.002800449
